Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,Scaled,ScaledSD,Gen 0,Allocated
standard,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,143.8393 ns,0.4215 ns,0.3943 ns,0.1018 ns,143.2382 ns,143.5289 ns,143.7791 ns,144.0418 ns,144.6543 ns,6952201.74,1.00,0.00,0.0120,0.06 kB
hotfix,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,64.1697 ns,0.2030 ns,0.1799 ns,0.0481 ns,63.8922 ns,64.0294 ns,64.1257 ns,64.3110 ns,64.5121 ns,15583682.52,0.45,0.00,-,0 kB
