Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,Scaled,ScaledSD,Gen 0,Allocated
standard,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,26.8143 ns,0.5716 ns,0.5347 ns,0.1380 ns,26.1788 ns,26.4118 ns,26.5014 ns,27.2970 ns,27.7584 ns,37293479.67,1.00,0.00,0.0068,0 GB
hotfix,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,18.9426 ns,0.0383 ns,0.0299 ns,0.0086 ns,18.9042 ns,18.9262 ns,18.9380 ns,18.9514 ns,19.0188 ns,52791053.79,0.71,0.01,0.0072,0 GB
