Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,Allocated
Noop,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0.0177 ns,0.0272 ns,0.0255 ns,0.0066 ns,0.0000 ns,0.0000 ns,0.0046 ns,0.0308 ns,0.0841 ns,56480857076.18,0 kB
IndexingFirstItem,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0.2901 ns,0.0071 ns,0.0063 ns,0.0017 ns,0.2807 ns,0.2850 ns,0.2895 ns,0.2948 ns,0.3038 ns,3446540340.57,0 kB
IndexingMiddleItem,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0.2871 ns,0.0089 ns,0.0083 ns,0.0021 ns,0.2720 ns,0.2827 ns,0.2871 ns,0.2939 ns,0.3065 ns,3482907041.31,0 kB
IndexingLastItem,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,0.2847 ns,0.0053 ns,0.0045 ns,0.0012 ns,0.2744 ns,0.2824 ns,0.2852 ns,0.2886 ns,0.2900 ns,3512542370.15,0 kB
