Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,Scaled,ScaledSD,Gen 0,Allocated
standard,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,792.0946 ns,3.9530 ns,3.6976 ns,0.9547 ns,787.3959 ns,789.3481 ns,790.5893 ns,795.3948 ns,799.1174 ns,1262475.5,1.00,0.00,0.0045,0.07 kB
hotfix,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,57.2437 ns,0.1881 ns,0.1571 ns,0.0436 ns,57.0385 ns,57.0657 ns,57.2757 ns,57.3561 ns,57.5006 ns,17469179.4,0.07,0.00,-,0 kB
